sentences,label
please verify the houston fax number.,1
brent hendry has a doctor appointment tomorrow (friday) morning.,0
"for a faxed copy, please include your fax number.",1
"hi, this is another friendly reminder to please submit your information for the gas logistics powerpoint presentation.",1
"chris, can you provide this.",1
"businesses need to integrate all modes of communication web, email, chat, video, voice to serve and support their customers in order to maximize customer satisfaction.",0
please let me know your thoughts as soon as possible.,1
can you participate on this call?,1
please call me at x39123 if you have any questions or concerns about these changes.,1
please let me know when you have allocated the gas to these meters.,1
momentum indicators have entered their respective oversold zones but remain bearish signaling that additional weakness is possible nearterm.,0
my birthday is january 11th.,0
"anyway, wanted to let you know and see if you had any interest.",0
your teams hard work really shows here.,0
"as part of the buyout arrangement, dynegy's 26 percent owner, chevrontexaco corp. , has given enron $1.",0
Get Janet's signature on the permit application.,1
please see the attached transaction agreement and master firm purchase/sale agreement.,1
please keep me updated in any local market information you come across.,1
please call the upstream (detm or coral) to confirm that the schedule is being filled each hour.,1
i'm actually headed to seattle again this thursday to interview with another natural gas company up there.,0
"i trust you, the people!""",0
"please let me know what you would like to bring and for what day (12th,13th or 14th).",1
please see the attached transaction confirmation and comment on the new definition of the fixed basis.,1
i just remembered the 19th is lyle.,0
here are my choices.,0
please bring a minimum of 50 of your release forms.,1
"""we had to stay sexy and attractive to the kids,"" says ed goble, ut's vice president of business affairs.",0
can you pls let the traders know.,1
please give me a call at 2125269525 at your earliest convenience.,1
"""it's not as soon as we wanted, but it's not the lengthy delay the governor wanted.",0
No problem i will help Do you remember that logic?,1
very recent cases from oregon court of appeals and supreme court with links to full opinions are also included.,0
i will look into form 2 physical reporting changes.,0
please check your bill and indicate whether you agree or disagree with the bill details.,1
"due to the sensitivity of the information, we'll be specific.",0
"""they talk about refunds for 20 california.",0
"if you or someone you know has seen it, please let us know where we can retrieve it.",1
iso is considering several options on where to set there price range.,0
"shmuel, i hope you remember me.",0
"if there is anyone in your group, please let me know about them as well.",1
"donald a. kaplan, esq.",0
paul gigot broke the story of armey's retirement.,0
"would you also give me direction to trang's house, please?",1
there may be some but i a blissfully unaware of them.,0
i'll write you if i take the plunge and reverse the long trading/short cooking spread.,0
tana: can you get certif.,1
this switch actually was arranged last week by working with jana g. in the aa program.,0
"if there's anything else that needs attention, please let me know.",1
"""how can you have a public hearing and not have the information the public wants? """,1
can you please update me on what you need me to do to complete these?,1
could you please take a look at this?,1
"will you be sending confirm letters on these modesto deals, or just verbally confirming them?",1
"to unsubscribe from this mailing, please click here to go to ht tp:// .",1
"technology shares, which have been the biggest winners over the past few weeks, were predictably the hardest hit.",0
please review this return change to 7pm.,1
i have some questions regarding what my insurance and benefit options are.,0
and now for the real reason of my email can you send me tracy's telephone number.,1
"hey jeff, got it, thanks.",0
please consult your healthcare provider with any questions or concerns you may have regarding your condition.,1
greg would like to combine the trip with a weekend in santa fe.,0
"please reply with your full name (first, middle and last) and enron phone number for inclusion in the list.",1
when would venkat be available to start the class and what type of schedule would you recommend?,1
please call me when you have a moment to discuss this.,1
it also says supplies were squeezed because of inadequat e20 pipeline networks within california.,0
jamie was trying out for a part in a school play.,0
i think joe has stood tom's position on its head.,0
contact: kay chapman x30643,0
"i think this can be solved through one of our core values, communication.",0
"when the sessions end, everyone will meet for a closing ceremony led by singer, author and motivational speaker willie jolley.",0
would you please send us a few dates and times next week for us to review the current website?,1
"online privacy policy, please click here.",1
concert: celebrate the houston symphony's final performance of the seaso n with music director designate hans graf.,0
"will not start at wide receiver in place of the injured marcus robinson, as was reportedly earlier.",0
otherwise it looks a standard nda.,0
please provide comments and changes as appropriate (plus add language for your insurance product in the place holder).,1
we are waiting for the verdict on this one.,0
i am amazed at how much work got done so quickly.,0
the correct rate has been and continues at $0.,0
please call me or email to me the information you need me to consider.,1
he granted our motion to continue the trial date.,0
"please make any changes or corrections and return to me by monday, june 12 at 10:00 am.",1
offer valid at participating national locations in the us and ca nada.,0
they are also getting a subscription to gas daily.,0
please let me know if you are agreeable to the attached rates.,1
please take these seriously.,1
please call scott goodell at 7138537711 if you have any questions.,1
the newspaper said that the plant was being built in a nonresadintal area there are 8 homes in this area alone.,0
"she called it ""an act of sheer desperation"" by the democrats.",0
if you are not available this weekend but would like to participate on the next associate super saturday please email dolores muzzy as well.,0
freshman rb cedric benson got the score on a 7yard run.,0
please review and make sure that they are in accordance with ena's information policies.,1
please see our full disclaimer on any current research document for further restrictions/limitations.,1
 Send out code for testing before we do the demo,1
please visit the website to learn more about paul williams and his position on the issues.,1
"mike, can you send me your address for mailing the w9 form for enron credit inc. ?",1
"long distance giant at&t (t,17.",0
please let her know if you would like to participate by conference call.,1
just checking to see what is happening.,0
i think asking david the question is a good idea.,0
"media advisory december 12, 2001 power surge on intercontinentalexchange as new record is set ice trades 16.",0
"if you would like for me to order a calendar for 2002, please submit your preference.",1
"how can you be sure what' s20 acceptable, and what's not?",1
"if you have any problems with functionality or performance, please ask one of them to assist you.",1
yes but can you spell.,1
"again, thank you so much for all the great letters and emails.",0
i have gone through all of bruce's numbers today.,0
please call me or theresa with questions.,1
if there are any issues please let her know asap.,1
"i tried to call you but it won't let me through, do you have a new work number.",0
play more < and win more.,0
underlining indicates additions and bracketing indicate s20 deletions.,0
they will ask you for a pin enter 4954. please let me know if you need anything!,1
< < < enjoy free shipping to europe when shopping sharper image's new international web sites!,0
"please advise of any revisions and any forthcoming (janmar) ""outofoffice"" days.",1
we believe there has been a misinterpretation as to what has been stated.,0
"if you have any questions, please feel free to call me at x57400.",0
please update me with any additional presentations or changes in existing presentations.,1
peter/paul can you forward me a copy of what pg&e and sdg&e sent as well?,1
i was introduced to you by michael moran.,0
"sunday, november 5th, is the big day.",0
"also, will you drive?",1
Please let me know today when we can get these contracts assigned.,1
"pinnacle west capital [pnw], parent of arizona public service is expanding its generating capacity in the southwest.",0
therefore their use for any commercial purposes is possible only with our permission.,0
thought you would like to read it.,0
please let me know if these terms do not represent your understanding.,1
the index was up 3.,0
please let me know if this request is ok?,1
please call as soon as you get a chance.,1
please note that it may take up to 14 days to process your request .,1
can you send me the deal terms like we've done before so i can prepare an assignment.,1
there should be a ectrt load zone in pge3 with this length.,0
frank bidart and robert pinsky join davison in reading lowell's masterpiece aloud.,0
please let me know how you would like to handle this issue going forward.,1
"in regard to this deal, could you please email me a copy of the confirmation that the trader prepares.",1
would you please find a copy of this and send to felicia?,1
"steve, please call me about this when you get back to the office later today.",1
"sacramento (ap) california tax officials say the embattled enron corp. is more than a year late in paying a $493,000 tax bill.",0
but we're trying damned hard to make it happen.,0
"but a few months ago as rolling blackouts hit the state, gov.",0
"can you change peter's name, i had it wrong, it's ""peter c. m. keohane"".",1
we can connect later next week to select one.,0
please ensure that my funds are deposited as soon as possible due to my current financial crisis.,1
can you email it to me?,1
"unfortunately, you are working at a different company than you were a few weeks ago.",0
the scope of the enron debacle undermines th e credibility of modern business culture.,0
"anne, i have reviewed the p&s agreement for triple lutz.",0
sj ca lost a significant .,0
please confirm your attendance (positive responses only) by emailing shar on20 or phoning 7132235801. ?,1
please assume that the credit quality of your counterparty is a rated or better.,1
"tricia, deal 473190 has the daily withdrawal volumes.",0
"attached is the draft sara shackleton enron north america corp. 1400 smith street, eb 3801a houston, texas 77002 7138535620 (phone) 7136463490 (fax)",0
"morning steven, will you please add four new resource ids to the px database for epmi?",1
can you kill this deal or zero out the volumes?,1
"let me know what time to be at your house (and directions, again .",0
can you call me today ?,1
please note that this letter needs to be received by oge by the 1st.,1
please let me know if you agree with this.,1
"tana, i received a pa for straightline (division of u. s. steel) and credit approved.",0
"if you have any questions or concerns, please contact me at (713)8536816. thank you robert h. benningfield",1
", please click here .",1
"that ""would have tremendous economic impact on colorado,"" benevento said, because it is a major coalpr oducing.",0
please let me know your thoughts on proceeding.,1
please liaise with him directly on this.,1
please give me a call after you've had a chance to look these over.,1
"if you have any questions, please call me at (713) 8536600. harry woodson",0
"""over the weekend the power station will be prepared for restart"", the company said in a statement.",0
"refer to ""web"" visit for articles on holidays with the family, the customer connection .",0
please let me know if you are available to deliver the same presentation you gave to petrobras to pdvsa.,1
how much will you invest this year?,1
please get with me if you have any questions.,1
"''20 they wrote that polls showed that the more people heard about the company, ''the more corrosive it becomes.",0
the broader question is what lucent's troubles indicate about the telecom sector.,0
"if you would like to change your email address, please visit: 3d13709.",1
"o n oct. 24, chief financial officer andrew fastow took a leave of absence.",0
i work in the evenings so if you need anything before 2:00 please call my cell phone.,1
"Doug, please collect all the comments on the document and get them to me ASAP tomorrow.",1
can you please let me know if can get me passwords?,1
"you don't need to bring anything for him, santa.",0
"please send them directly to me: with tom, ctstrader.",1
"secondly, please make a point of seeking out these interns and welcoming them to enron.",0
please send me a note indicating that you have approved this hire.,1
sebs would be unbundled into gtd and corporatized within four months of passage.,0
"the state expects to purchase another 2,000 megawatts in contracts that are still being worked out, mr. freeman said.",0
"""i've been raped, neil, and i'll be a victim of that all my life. """,0
"also please note that i have asked you to subscribe, on line, to compass point, board caf?",1
"i am really sorry,please,take 5 minutes to read the brilliant titles of my invited speakers!",1
please mark your calendars accordingly.,1
"when i tried to print the option agreement, it came through as gibberish.",0
"""davis in 2002: a kite and a key for every house. """,0
ron please make sure we get this information as soon as it's filed.,1
they'll face a buc defense this week ranked # 6 in passing yards allowed per game over the last 4 weeks.,0
please forward your tshirt size to me via email.,1
joe: could you please send me what you've done and i'll revise as necessary?,1
please let me know if you have any concerns about this.,1
"thanks in advance, joseph alamo sr. admin.",0
please let me know if you plan to attend so i can get an accurate count for lunch.,1
i also spoke with constellation energy today and they are serious about joining as a primary.,0
please be prepared to present updates (including edits) on the items included in the attachments.,1
can you write an evaluation for him?,1
"please remember, no feedback can be completed on sager,elizabeth a until you have approved the list.",1
wayne can you set up a meeting for the four of us over the next few weeks.,1
today's performance by james cramer was bottom of the barrel the worst i've seen.,0
please see attached invitation for the january birthday party.,1
"[image] check out more grea t coolblueoffers for this holiday season from merchants such gap, sharper image, and bluelight.",0
please be advised that your company and cost center number must accompany the already furnished credit card number.,1
"cruz bustamante in a 20 lawsuit against power suppliers, said the process raises serious legal20 questions.",0
please continue to check your rc report each month going forward.,1
< sponsored by phillips < join expert michael murphy for a free eseminar: < success secrets of a tech stock pro.,0
"if you have any questions, please call me at (713) 6466222. thank you john",1
join the company that is already collecting checks from most of the dot.,0
update as of 10/15/01.,0
"in anwswer to your question, the principal in transactions conducted on clickpaper.",0
"i hope you got out and ""stomped"" a little bit!",0
"as always, please let me know if you have any questions.",1
"wes, can you please finalize the one page plan (expenses and headcount) for each group with these changes.",1
would you be available?,1
i'll be in monday to enter the annuity and confirm the price craig,0
dave perrino can you cover for me the week i'm gone (and alan is too)?,1
"zone 1 vicki, this will confirm that we converted 3,000 of our 4,000 swing traunch on transco (deal 505902) to a fixed price of $10.",0
so please keep this just between us.,1
"yet, at the heart of a useful spiritual practice is how we relate to time.",0
please save attachment in file forwarded message i've not forwarded montana power's list of transmission facilities to you.,1
please call me if you would like me to clarify or expand upon any of our points.,1
"can you check on this for us, too.",1
right now it looks like mark guzman and kate symes will be the voice of west real time.,0
"Ted, I need to have the price for the East Texas redelivery changed in the price for this redelivery point.",1
"david, please make the appropriate changes.",1
could you send them again (maybe in a different format).,0
Delete with one simple keystroke and continue the same for the entire project.,1
"heather and kay, please take a look and let me know what you think.",1
"rather than being put on deal teams, he was relegated to putting together slide presentations for higher ups.",0
please keep the petition rolling.,1
please keep in touch!,1
please let me know (ext.,1
justin boyd with our london team has already directed a firm in india to start looking at these issues.,0
"for any problems encountered concerning password controls, please call your appropriate resolution center (available: 24hrs.",1
"david letterman ""i was in a supermarket and i saw paul newman's face on salad dressing and spaghetti sauce.",0
"a copy of the speech appears below, (or use this website link: ).",0
this week we look at more words from the world of literature.,0
please keep me posted as we additional counterparties.,0
if this winter's rally resumes on monday and clears fib resistance crossing at 76.,0
"ryan: please be aware that on the days of the 14, 15, and 16 of july.",1
"i'll try to figure that out later, but in the meantime, could yo u please go ahead and forward?",1
i know you have lots on you plate.,0
as discussed please see the attached sample master agreement.,1
so i could be home as early as friday.,0
can you print the attachment for me?,1
get to know our great land from coast to coast and from sea to shining sea!,0
california's finances the state of california will be walking a fiscal tightrope for a while until wholesale energy costs come down.,0
can you shoot me the fugg breakdown again?,1
updated by: cnkim ward/ouhou/oect,0
both dad and robert were away so joanne and i and two spares managed to get a win.,0
please note the comments i provided to you last year relating to this counterparty.,1
your summary of porlock is just as i remember helen and kim were in place when i visited.,0
i would also request if you could please send me a copy of you power point presentation.,1
"Please let me know ASAP, Brenda Herod would like this resolved today or not.",1
"for project timber, we need to pick the name for the partnership.",0
"now it could be that the la/new york cost is cheaper than the portland/new york cost, the whole point is no one knows.",0
we have already sent all of the documents in the ve data room.,0
"emeryville, calif. based northpoint filed for chapter 11 bankruptcy protection on jan. 16, six weeks after verizon scuttled the companies' plans to merge.",0
i enjoy being around wellrounded people that are flexible and will try anything once.,0
morgan is working with legal to create this contract.,0
the total volume offered in this fifth tender was of 60mn of litres.,0
"tony richardson, rb kc team chick updated 10/14/01 richardson (shoulder) is listed as doubtful for sunday's game against pittsburgh.",0
can you change this deal to offpeak hours?,1
"hi kathy, please look closely over this version and let me know if you see any problems.",1
"the current dollar limit is $75,000 per recipient, and the housepassed farm bill changes that to $150,000.",0
arrange his pillow and offer to take off his shoes.,0
the nasd has published information on how to invest carefully at its w eb site.,0
paul did a great job and we thank enron for having a good strategy and good people to manage it.,0
"otherwise, please clarify your question.",1
please let me know your availability and i will set up the meeting.,1
Please start the deliveries on the 10th and inform to all.,1
< < < < tony stewart only $29.,0
can you do lunch with nony/ i on thursday?,1
"best, jeff p. s. and i mean this in all seriousness.",0
please propose the top three new markets that you would like us to evaluate for enron.,1
please review it to be sure that it accurately reflects your need.,1
why can you compete with major investment banks on wall street to get the 20 brightest business school graduates?,1
"eat something good, like a salad since you did not drink prunies.",0
please pass this on to any other friends you have in the neighborhood.,1
"it's something we expected but confirmation of the expectation seemed like ultimatum, which is sad.",0
can you e:mail a copy to tom hopwood?,1
"if you ran, please send me your finishing time.",1
doc price changes memo (ver 2).,0
": the fairmont kea lani, maui, hawaii patagonian passage plus 5,000 bonus miles!",0
you decided that you wouldn't take that 60 million dollars if the merger with dynegy didn't go through.,0
lisa can you have someone generate a wire request form to aep on this?,1
just visit the amazon.,0
please respond appropriately with your level of interest!,1
please let me know if you need something more from me.,1
"regards, anjam x35383 presentation attached:",0
dunn said he believes fines would be the most appropriate punishment.,0
please fax sheila trueblood at 4026919552 when you have printed the report.,1
sorry for the inconvience.,0
momentum indicators are very overbought and turning bearish with today's action thereby increasing the odds that a shortterm top is in or near.,0
"because seating is limited, please make your reservations as soon as possible.",1
do you feel comfortable going to them or would you like me to go with you?,1
"if you have a special request, please give anne a call at 8884778385 and tell us what you want.",1
please call him and tell him that we're waiting for jim derrick's approval.,1
sue: can you meet with brown/gamson?,1
"backing it are some of the world's top oil companies and banks, including bp amoco plc.",0
"without bothering you too much, can you explain to me the procedure.",1
Make sure you include your Alaska Airlines Mileage Plan number to qualify for this promotion.,1
"rule 46, oxford union society, london timtowtdi timtowtdi",0
please let me know at 20 your earliest convenience.,1
"with the senate's shift from republican to democratic control, lafalce contended that the ""stumbling block"" to consumer advocacy in that chamber ""has been eradicated.",0
Please check it out and let me know what the deal numbers are for this month and prepare a document also.,1
raffle items: huskee 16.,0
enron's offer came after four unnamed parties approached enron about buying its stake in azurix.,0
"kate, my assistant, shirley crenshaw, will schedule a meeting.",0
please call or write if you'd like a faxed copy with the signatures.,1
can you assist in getting it located?,1
hottap helpdesk: will you contact the proper persons concerning the missing estimated volumes in tms for the 20th?,1
please let me know if you find out anymore.,1
"tammy: can you send me another copy of the 6th floor seating chart thanks, john",1
"Please advise the team, so we can keep the process moving.",1
i think it would be unfortunate to foreclose the option at this point.,0
please add mark taylor to this training.,1
"users on affected servers will be notified and logged off, but may immediately log on to remaining servers.",0
